date,gross_return,cost,net_return,turnover,equity
2012-10-05,-0.0028234323109748855,0.0,-0.0028234323109748855,0.0,1.6076409314813134
2012-10-08,-0.0038270445203387876,0.0,-0.0038270445203387876,0.0,1.6014884180638156
2012-10-09,-0.008895047839089482,0.0,-0.008895047839089482,0.0,1.5872431019713902
2012-10-10,-0.0014635489066430613,0.0,-0.0014635489066430613,0.0,1.5849200940649233
2012-10-11,0.0032141536638959217,0.0,0.0032141536638959217,0.0,1.5900142707922442
2012-10-12,-0.0030596356973361938,0.0,-0.0030596356973361938,0.0,1.5851494063700542
2012-10-15,0.004021825519108055,0.0,0.004021825519108055,0.0,1.591524600704192
2012-10-16,0.007157479390672419,0.0,0.007157479390672419,0.0,1.6029159052334805
2012-10-17,0.0023585344466175023,0.0,0.0023585344466175023,0.0,1.6066964376110047
2012-10-18,-0.0033293246391621345,0.0,-0.0033293246391621345,0.0,1.6013472235736124
2012-10-19,-0.011907390961469144,0.0,-0.011907390961469144,0.0,1.5822793561174584
2012-10-22,0.001742455192271411,0.0,0.001742455192271411,0.0,1.585036406997149
2012-10-23,-0.009882809655831548,0.0,-0.009882809655831548,0.0,1.569371793889233
2012-10-24,-0.002699155449165061,0.0,-0.002699155449165061,0.0,1.565135815459991
2012-10-25,0.002882857258229579,0.0,0.002882857258229579,0.0,1.5696478786057049
2012-10-26,-0.0007008278086515218,2.5e-05,-0.0007258278086515218,0.125,1.5685085845256221
2012-10-31,0.001663798026406732,0.0,0.001663798026406732,0.0,1.571118266012958
2012-11-01,0.0039747465482803945,5e-05,0.003924746548280395,0.25,1.5772845070044323
2012-11-02,-0.004869827186944536,2.5e-05,-0.004894827186944536,0.125,1.5695639719180006
2012-11-05,0.0020905570740312462,2.5e-05,0.0020655570740312464,0.125,1.5728059958833405
2012-11-06,0.003678562134373467,0.0,0.003678562134373467,0.0,1.5785916604645127
2012-11-07,-0.01102686007928616,0.0,-0.01102686007928616,0.0,1.5611847511022425
2012-11-08,-0.007556911238923339,0.0,-0.007556911238923339,0.0,1.5493870165106023
2012-11-09,0.0010095949450830838,0.0,0.0010095949450830838,0.0,1.5509512698104486
2012-11-12,-5.609514313192898e-06,0.0,-5.609514313192898e-06,0.0,1.5509425697271015
2012-11-13,-0.002310028367840125,2.5e-05,-0.002335028367840125,0.125,1.5473210748298978
2012-11-14,-0.010938162160877854,2.5e-05,-0.010963162160877855,0.125,1.5303575429715937
2012-11-15,-0.0012636591152760668,0.0,-0.0012636591152760668,0.0,1.528423692712786
2012-11-16,0.003159456929528487,0.0,0.003159456929528487,0.0,1.5332526815399832
2012-11-19,0.013892243253683462,0.0,0.013892243253683462,0.0,1.554553000761299
2012-11-20,-6.492082322910597e-05,0.0,-6.492082322910597e-05,0.0,1.5544520779007365
2012-11-21,0.0008317211024087834,0.0,0.0008317211024087834,0.0,1.5557449484966095
2012-11-23,0.011909047731403624,2.5e-05,0.011884047731403623,0.125,1.5742334957224333
2012-11-26,0.0012275131307306758,2.5e-05,0.0012025131307306757,0.125,1.5761265321718756
2012-11-27,-0.003627828096197619,2.5e-05,-0.0036528280961976188,0.125,1.5703692128919957
2012-11-28,0.0027986732132672387,0.0,0.0027986732132672387,0.0,1.574764163143056
2012-11-29,0.005916895610305728,0.0,0.005916895610305728,0.0,1.584081878307224
2012-11-30,-0.0012571656492216532,0.0,-0.0012571656492216532,0.0,1.5820904249842616
2012-12-03,-0.00021843633608575885,0.0,-0.00021843633608575885,0.0,1.5817448389484716
